z,xi_shoes,xi_planck,delta_xi,abs_delta_xi
0.014,0.013950790729558531,0.013953571512834393,-2.7807832758616757e-06,2.7807832758616757e-06
0.01406,0.014010367562281153,0.014013172178174172,-2.8046158930192244e-06,2.8046158930192244e-06
0.01424,0.01418908716651147,0.014191963887565018,-2.876721053547346e-06,2.876721053547346e-06
0.01386,0.013811771059379639,0.013814496626901615,-2.7255675219758912e-06,2.7255675219758912e-06
0.01386,0.013811771059379639,0.013814496626901615,-2.7255675219758912e-06,2.7255675219758912e-06
0.01509,0.015032820038327196,0.015036049559557473,-3.2295212302763804e-06,3.2295212302763804e-06
0.01509,0.015032820038327196,0.015036049559557473,-3.2295212302763804e-06,3.2295212302763804e-06
0.01509,0.015032820038327196,0.015036049559557473,-3.2295212302763804e-06,3.2295212302763804e-06
0.01416,0.014109658248744343,0.014112502810599366,-2.844561855022687e-06,2.844561855022687e-06
0.01504,0.014983198783020691,0.014986406989361066,-3.208206340374678e-06,3.208206340374678e-06
0.01457,0.014516697329655225,0.014519708609073647,-3.0112794184213726e-06,3.0112794184213726e-06
0.0142,0.014149373111127914,0.014152233730088412,-2.8606189604978016e-06,2.8606189604978016e-06
0.01422,0.014169230239694266,0.014172098904080704,-2.868664386437847e-06,2.868664386437847e-06
0.01503,0.014973274380593388,0.014976478332379453,-3.203951786065126e-06,3.203951786065126e-06
0.01503,0.014973274380593388,0.014976478332379453,-3.203951786065126e-06,3.203951786065126e-06
0.01448,0.014427354551122764,0.014430328829244424,-2.9742781216604564e-06,2.9742781216604564e-06
0.01429,0.014238728600886806,0.014241625512806453,-2.8969119196461945e-06,2.8969119196461945e-06
0.01472,0.014665592880265052,0.014668666334361357,-3.0734540963049672e-06,3.0734540963049672e-06
0.01449,0.01443728172829074,0.014440260106428284,-2.978378137544549e-06,2.978378137544549e-06
0.01402,0.01397064987553143,0.013973438591766023,-2.7887162345925642e-06,2.7887162345925642e-06
0.01483,0.014774775736561946,0.014777895187241555,-3.1194506796092952e-06,3.1194506796092952e-06
0.01483,0.014774775736561946,0.014777895187241555,-3.1194506796092952e-06,3.1194506796092952e-06
0.01509,0.015032820038327196,0.015036049559557473,-3.2295212302763804e-06,3.2295212302763804e-06
0.01495,0.014893877344762082,0.014897047361259623,-3.1700164975414363e-06,3.1700164975414363e-06
0.01529,0.015231292444943523,0.015234607927938426,-3.3154829949030157e-06,3.3154829949030157e-06
0.01522,0.015161829398541458,0.015165114667133045,-3.2852685915869123e-06,3.2852685915869123e-06
0.01518,0.015122135119041449,0.015125403184044912,-3.268065003463397e-06,3.268065003463397e-06
0.01566,0.01559841318395454,0.015601890657401087,-3.4774734465475854e-06,3.4774734465475854e-06
0.01572,0.015657939766434755,0.015661443870777104,-3.5041043423486573e-06,3.5041043423486573e-06
0.01493,0.014874027581260498,0.014877189142026721,-3.161560766223176e-06,3.161560766223176e-06
0.01534,0.015280907392809911,0.015284244541773651,-3.337148963739739e-06,3.337148963739739e-06
0.01534,0.015280907392809911,0.015284244541773651,-3.337148963739739e-06,3.337148963739739e-06
0.01534,0.015280907392809911,0.015284244541773651,-3.337148963739739e-06,3.337148963739739e-06
0.01534,0.015280907392809911,0.015284244541773651,-3.337148963739739e-06,3.337148963739739e-06
0.01592,0.01585634858521175,0.015859942189014715,-3.5936038029656114e-06,3.5936038029656114e-06
0.01592,0.01585634858521175,0.015859942189014715,-3.5936038029656114e-06,3.5936038029656114e-06
0.01506,0.015003047436512585,0.015006264160383349,-3.2167238707640072e-06,3.2167238707640072e-06
0.01506,0.015003047436512585,0.015006264160383349,-3.2167238707640072e-06,3.2167238707640072e-06
0.01539,0.015330521079103208,0.015333879964242517,-3.3588851393092506e-06,3.3588851393092506e-06
0.01527,0.01521144611256168,0.01521475294882876,-3.3068362670796853e-06,3.3068362670796853e-06
0.01629,0.01622335167186455,0.016227113808974403,-3.762137109852154e-06,3.762137109852154e-06
0.01629,0.01622335167186455,0.016227113808974403,-3.762137109852154e-06,3.762137109852154e-06
0.01556,0.015499198175580391,0.015502631488781869,-3.4333132014775086e-06,3.4333132014775086e-06
0.01556,0.015499198175580391,0.015502631488781869,-3.4333132014775086e-06,3.4333132014775086e-06
0.01579,0.015727385149545074,0.01573092045098665,-3.535301441575517e-06,3.535301441575517e-06
0.01619,0.01612416846332096,0.016127884672091353,-3.7162087703941638e-06,3.7162087703941638e-06
0.01579,0.015727385149545074,0.01573092045098665,-3.535301441575517e-06,3.535301441575517e-06
0.01579,0.015727385149545074,0.01573092045098665,-3.535301441575517e-06,3.535301441575517e-06
0.01538,0.015320598442772204,0.015323952975058832,-3.35453228662852e-06,3.35453228662852e-06
0.01636,0.016292776914051503,0.016296571367931355,-3.794453879851778e-06,3.794453879851778e-06
0.01619,0.01612416846332096,0.016127884672091353,-3.7162087703941638e-06,3.7162087703941638e-06
0.01595,0.01588610816665539,0.01588971529220794,-3.6071255525502166e-06,3.6071255525502166e-06
0.0157,0.01563809777415785,0.015641592990306652,-3.49521614880291e-06,3.49521614880291e-06
